"Attr1","Attr2","Attr4","Attr5","Attr8","Attr9","Attr15","Attr18","Attr20","Attr21","Attr27","Attr28","Attr29","Attr32","Attr34","Attr39","Attr41","Attr45","Attr47","Attr55","Attr57","Attr60","Attr61","class"
0.17419,0.41299,1.348,-28.982,1.1225,1.1961,592.24,0.21946,37.573,0.9969,1.9737,0.32417,5.9473,100.82,0.71453,0.16501,0.041124,0.94621,44.941,127280,0.37574,9.7145,6.2813,"0"
0.14624,0.46038,1.6294,2.5952,1.1721,1.6018,829.46,0.17185,60.954,5.0889,44.593,1.0486,4.0792,105.09,3.3836,0.027516,0.074333,0.54669,62.678,3387.8,0.271,5.9882,4.1103,"0"
0.00059529,0.22612,3.1599,84.874,2.9881,1.0077,2094.1,0.0045718,53.881,0.67451,0.32153,1.7107,4.622,65.345,0.1796,0.031907,0.098528,0.0031684,54.296,20453,0.00088105,6.7742,3.7922,"0"
0.024526,0.43236,1.7833,-10.105,1.3057,1.0509,3299.4,0.024526,86.317,0.62795,0.44844,0.73869,4.26,103.81,0.12824,0.042673,0.1805,0.079819,90.707,5012.6,0.043445,4.2286,5.0528,"0"
0.18829,0.41504,1.9279,-58.274,1.4094,1.3393,602.31,0.23358,140.86,1.2039,44.947,1.1853,4.6033,122.09,2.6574,0.17648,0.054712,0.36429,171.05,13730,0.32188,2.5912,7.0756,"0"
0.18206,0.55615,1.6045,16.314,0.79808,1.8126,412.3,0.18206,43.168,1.2724,0,2.2118,3.8104,241.41,1.4478,0.016296,0.059746,0.8493,97.177,2080.6,0.41019,8.4553,3.3488,"0"
0.11503,0.036659,112.63,55.58,26.279,0.44339,92.759,0.14215,19.801,0.82872,61.21,13.526,4.339,7.2995,11.284,0.067038,0.014485,4.7821,21.224,20158,0.1194,18.433,41.783,"0"
0.0098323,0.67066,1.2393,-107.73,0.49108,1.1825,4359.1,0.013422,44.614,1.013,1.0904,0.45384,5.9673,217.81,1.4733,0.1978,0.25159,0.068029,53.392,1.2393,0.029854,8.1813,4.0084,"0"
0.23895,0.55473,1.7609,-22.907,0.80268,2.3317,657.95,0.29714,81.972,1.0467,9.8633,6.9983,3.911,97.4,3.6133,0.14038,0.054265,0.4563,95.359,3315.2,0.53663,4.4527,7.1847,"0"
-0.11986,0.60733,1.0688,-37.595,0.64655,3,6467.9,-0.11986,28.419,0.858,1.0669,0.11581,3.3322,99.456,3.6342,0.0023164,0.13134,-0.51315,38.627,88.899,-0.30525,12.844,8.3043,"0"
-0.13035,0.08968,2.6622,-34.003,8.9791,0.76134,-2864.9,-0.12478,148.05,0.68266,-2.0889,0.19582,4.0259,54.873,-1.3895,-0.27437,-0.26207,-0.70761,112.71,1582.1,-0.16187,2.4655,11.597,"0"
0.083519,0.40286,2.694,35.966,1.4822,1.0475,1155.2,0.10728,56.105,0.69907,0.44045,8.1573,3.8571,56.473,0.24353,0.042046,0.11213,0.23286,58.773,4201,0.13987,6.5056,5.4428,"0"
0.083597,0.19199,3.6396,105.17,4.2085,1.262,659.63,0.098854,45.981,0.96484,2.6589,0.15647,5.1246,62.645,0.39343,0.21069,0.076122,1.851,58.027,17148,0.10346,7.9381,2.7674,"0"
0.081951,0.24608,3.5654,29.45,3.0638,1.1117,762.7,0.094949,90.694,1.2354,1.1717,0.55316,4.8684,57.834,0.36632,0.10539,0.071621,0.3856,100.83,23101,0.1087,4.0245,7.2449,"0"
-0.20878,1.0024,0.57408,-253.85,-0.0024414,1.0536,-2499.6,-0.20878,39.001,0,0.0020897,-0.8203,4.2278,393.18,0.84703,0.075132,0.53518,-1.8546,48.392,-6583.1,85.308,9.3588,3.2083,"0"
0.0138,0.87373,0.86281,-125.35,0.088591,0.91784,15069,0.0138,96.118,0.33738,-1.2568,-0.487,5.103,280.52,-0.16354,-0.13693,-0.21196,0.05022,88.222,-15195,0.17828,3.7974,3.7153,"0"
0.27548,0.22652,3.4857,120.27,3.2368,1.2366,209.41,0.34154,24.131,0.84647,2.4502,2.6762,4.3354,60.468,1.479,0.19813,0.019178,2.4642,29.841,12188,0.37571,15.126,4.4656,"0"
-0.09388,0.24891,2.5032,35.006,3.0021,0.92569,-2643.1,-0.089098,51.939,0.67631,-0.62264,0.99272,4.3735,55.452,-0.40983,-0.067262,-0.17306,-0.435,48.079,8843.1,-0.12563,7.0274,7.0932,"0"
0.16545,0.25279,2.4443,28.197,2.9559,2.3641,383.78,0.20354,25.881,1.0213,20.047,0.95556,3.6151,42.869,8.5144,0.089482,0.034254,0.98698,28.428,1505,0.22143,14.103,6.8386,"0"
